actual value,predicted value
2.390000000000000000e+02,2.148380355834960938e+02
2.380000000000000000e+02,2.021961822509765625e+02
2.370000000000000000e+02,2.244852905273437500e+02
2.360000000000000000e+02,1.926192398071289062e+02
2.350000000000000000e+02,1.991268157958984375e+02
2.340000000000000000e+02,1.811665878295898438e+02
2.330000000000000000e+02,1.993474884033203125e+02
2.320000000000000000e+02,2.124741897583007812e+02
2.310000000000000000e+02,1.947993850708007812e+02
2.300000000000000000e+02,1.932067871093750000e+02
2.290000000000000000e+02,2.010716400146484375e+02
2.280000000000000000e+02,1.793459548950195312e+02
2.270000000000000000e+02,1.813520355224609375e+02
2.260000000000000000e+02,1.888674621582031250e+02
2.250000000000000000e+02,1.795898361206054688e+02
2.240000000000000000e+02,1.910001296997070312e+02
2.230000000000000000e+02,1.897651062011718750e+02
2.220000000000000000e+02,1.804078445434570312e+02
2.210000000000000000e+02,1.811526794433593750e+02
2.200000000000000000e+02,1.968401794433593750e+02
2.190000000000000000e+02,1.793385848999023438e+02
2.180000000000000000e+02,1.726616363525390625e+02
2.170000000000000000e+02,1.707505645751953125e+02
2.160000000000000000e+02,1.662648162841796875e+02
2.150000000000000000e+02,1.702202453613281250e+02
2.140000000000000000e+02,1.830988006591796875e+02
2.130000000000000000e+02,1.799496154785156250e+02
2.120000000000000000e+02,1.621933059692382812e+02
2.110000000000000000e+02,1.662904052734375000e+02
2.100000000000000000e+02,1.719187011718750000e+02
2.090000000000000000e+02,1.676266021728515625e+02
2.080000000000000000e+02,1.557116928100585938e+02
2.070000000000000000e+02,1.617693862915039062e+02
2.060000000000000000e+02,1.628991165161132812e+02
2.050000000000000000e+02,1.746350021362304688e+02
2.040000000000000000e+02,1.612664489746093750e+02
2.030000000000000000e+02,1.631873855590820312e+02
2.020000000000000000e+02,1.479628067016601562e+02
2.010000000000000000e+02,1.454720382690429688e+02
2.000000000000000000e+02,1.618751296997070312e+02
1.990000000000000000e+02,1.412608642578125000e+02
1.980000000000000000e+02,1.539846496582031250e+02
1.970000000000000000e+02,1.547728881835937500e+02
1.960000000000000000e+02,1.439126434326171875e+02
1.950000000000000000e+02,1.518546524047851562e+02
1.940000000000000000e+02,1.650790252685546875e+02
1.930000000000000000e+02,1.474867248535156250e+02
1.920000000000000000e+02,1.516957092285156250e+02
1.910000000000000000e+02,1.518488693237304688e+02
1.900000000000000000e+02,1.646915740966796875e+02
1.890000000000000000e+02,1.431659927368164062e+02
1.880000000000000000e+02,1.512022705078125000e+02
1.870000000000000000e+02,1.377770996093750000e+02
1.860000000000000000e+02,1.475648498535156250e+02
1.850000000000000000e+02,1.389280700683593750e+02
1.840000000000000000e+02,1.252543334960937500e+02
1.830000000000000000e+02,1.301183166503906250e+02
1.820000000000000000e+02,1.434431838989257812e+02
1.810000000000000000e+02,1.303523483276367188e+02
1.800000000000000000e+02,1.371643142700195312e+02
1.790000000000000000e+02,1.457647171020507812e+02
1.780000000000000000e+02,1.367847213745117188e+02
1.770000000000000000e+02,1.275556335449218750e+02
1.760000000000000000e+02,1.151576156616210938e+02
1.750000000000000000e+02,1.336800994873046875e+02
1.740000000000000000e+02,1.287784194946289062e+02
1.730000000000000000e+02,1.239546966552734375e+02
1.720000000000000000e+02,1.308941268920898438e+02
1.710000000000000000e+02,1.268267135620117188e+02
1.700000000000000000e+02,1.324501113891601562e+02
1.690000000000000000e+02,1.264195022583007812e+02
1.680000000000000000e+02,1.138026199340820312e+02
1.670000000000000000e+02,1.201459121704101562e+02
1.660000000000000000e+02,1.261728439331054688e+02
1.650000000000000000e+02,1.363714447021484375e+02
1.640000000000000000e+02,1.191275711059570312e+02
1.630000000000000000e+02,1.181083297729492188e+02
1.620000000000000000e+02,1.092195663452148438e+02
1.610000000000000000e+02,1.215597457885742188e+02
1.600000000000000000e+02,1.233849563598632812e+02
1.590000000000000000e+02,1.155417938232421875e+02
1.580000000000000000e+02,1.174190979003906250e+02
1.570000000000000000e+02,1.245204544067382812e+02
1.560000000000000000e+02,2.905622787475585938e+02
1.550000000000000000e+02,1.180264739990234375e+02
1.540000000000000000e+02,1.119935226440429688e+02
1.530000000000000000e+02,1.033817443847656250e+02
1.520000000000000000e+02,1.052890319824218750e+02
1.510000000000000000e+02,1.137751846313476562e+02
1.500000000000000000e+02,1.177562637329101562e+02
1.490000000000000000e+02,1.242744979858398438e+02
1.480000000000000000e+02,1.157303237915039062e+02
1.470000000000000000e+02,1.148041610717773438e+02
1.460000000000000000e+02,1.204388351440429688e+02
1.450000000000000000e+02,9.962350463867187500e+01
1.440000000000000000e+02,1.039153289794921875e+02
1.430000000000000000e+02,1.053969650268554688e+02
1.420000000000000000e+02,9.237274169921875000e+01
1.410000000000000000e+02,9.401376342773437500e+01
1.400000000000000000e+02,1.000632705688476562e+02
1.390000000000000000e+02,1.148638305664062500e+02
1.380000000000000000e+02,1.055332794189453125e+02
1.370000000000000000e+02,1.000893936157226562e+02
1.360000000000000000e+02,9.057632446289062500e+01
1.350000000000000000e+02,1.200330734252929688e+02
1.340000000000000000e+02,1.018914413452148438e+02
1.330000000000000000e+02,1.199220123291015625e+02
1.320000000000000000e+02,9.691636657714843750e+01
1.310000000000000000e+02,1.078416595458984375e+02
1.300000000000000000e+02,9.579161071777343750e+01
1.290000000000000000e+02,1.040175704956054688e+02
1.280000000000000000e+02,8.552837371826171875e+01
1.270000000000000000e+02,1.078019866943359375e+02
1.260000000000000000e+02,8.746183776855468750e+01
1.250000000000000000e+02,8.775858306884765625e+01
1.240000000000000000e+02,7.705682373046875000e+01
1.230000000000000000e+02,7.147620391845703125e+01
1.220000000000000000e+02,7.242643737792968750e+01
1.210000000000000000e+02,8.084368133544921875e+01
1.200000000000000000e+02,8.668514251708984375e+01
1.190000000000000000e+02,6.128493499755859375e+01
1.180000000000000000e+02,8.863278961181640625e+01
1.170000000000000000e+02,9.633927917480468750e+01
1.160000000000000000e+02,7.239366912841796875e+01
1.150000000000000000e+02,9.760101318359375000e+01
1.140000000000000000e+02,9.047394561767578125e+01
1.130000000000000000e+02,8.411537933349609375e+01
1.120000000000000000e+02,9.411378479003906250e+01
1.110000000000000000e+02,6.981148529052734375e+01
1.100000000000000000e+02,7.768750000000000000e+01
1.090000000000000000e+02,6.446466827392578125e+01
1.080000000000000000e+02,9.212445068359375000e+01
1.070000000000000000e+02,8.775205993652343750e+01
1.060000000000000000e+02,8.879410552978515625e+01
1.050000000000000000e+02,9.058105468750000000e+01
1.040000000000000000e+02,7.642247009277343750e+01
1.030000000000000000e+02,6.360540771484375000e+01
1.020000000000000000e+02,1.050225296020507812e+02
1.010000000000000000e+02,7.358763885498046875e+01
1.000000000000000000e+02,6.925847625732421875e+01
9.900000000000000000e+01,8.079002380371093750e+01
9.800000000000000000e+01,6.079091644287109375e+01
9.700000000000000000e+01,5.420108795166015625e+01
9.600000000000000000e+01,7.124645233154296875e+01
9.500000000000000000e+01,7.280327606201171875e+01
9.400000000000000000e+01,7.202025604248046875e+01
9.300000000000000000e+01,9.259365081787109375e+01
9.200000000000000000e+01,6.763294219970703125e+01
9.100000000000000000e+01,6.034570312500000000e+01
9.000000000000000000e+01,6.773362731933593750e+01
8.900000000000000000e+01,6.727439117431640625e+01
8.800000000000000000e+01,6.922068023681640625e+01
8.700000000000000000e+01,7.921910095214843750e+01
8.600000000000000000e+01,9.708184051513671875e+01
8.500000000000000000e+01,7.357267761230468750e+01
8.400000000000000000e+01,8.225648498535156250e+01
8.300000000000000000e+01,6.259546661376953125e+01
8.200000000000000000e+01,5.993820190429687500e+01
8.100000000000000000e+01,6.971905517578125000e+01
8.000000000000000000e+01,7.325567626953125000e+01
7.900000000000000000e+01,6.125587463378906250e+01
7.800000000000000000e+01,7.005658721923828125e+01
7.700000000000000000e+01,7.101979064941406250e+01
7.600000000000000000e+01,5.575460052490234375e+01
7.500000000000000000e+01,7.065135192871093750e+01
7.400000000000000000e+01,7.129676055908203125e+01
7.300000000000000000e+01,6.069377899169921875e+01
7.200000000000000000e+01,5.577145385742187500e+01
7.100000000000000000e+01,6.308640289306640625e+01
7.000000000000000000e+01,5.596711730957031250e+01
6.900000000000000000e+01,6.966037750244140625e+01
6.800000000000000000e+01,5.114646911621093750e+01
6.700000000000000000e+01,6.870058441162109375e+01
6.600000000000000000e+01,7.281993865966796875e+01
6.500000000000000000e+01,4.701963806152343750e+01
6.400000000000000000e+01,6.300070953369140625e+01
6.300000000000000000e+01,4.608206176757812500e+01
6.200000000000000000e+01,4.943583679199218750e+01
6.100000000000000000e+01,5.648908996582031250e+01
6.000000000000000000e+01,5.762622070312500000e+01
5.900000000000000000e+01,5.288388061523437500e+01
5.800000000000000000e+01,4.730950164794921875e+01
5.700000000000000000e+01,5.060639953613281250e+01
5.600000000000000000e+01,4.206983947753906250e+01
5.500000000000000000e+01,5.323493194580078125e+01
5.400000000000000000e+01,6.819815063476562500e+01
5.300000000000000000e+01,5.264624023437500000e+01
5.200000000000000000e+01,4.408370208740234375e+01
5.100000000000000000e+01,4.520776367187500000e+01
5.000000000000000000e+01,4.204358673095703125e+01
4.900000000000000000e+01,3.770378875732421875e+01
4.800000000000000000e+01,5.336940765380859375e+01
4.700000000000000000e+01,6.354044342041015625e+01
4.600000000000000000e+01,5.868399047851562500e+01
4.500000000000000000e+01,4.279851531982421875e+01
4.400000000000000000e+01,4.037508392333984375e+01
